sec,x1[m],v1[m/s],a1[m/s2],Force1[kgf],Force2[kgf],Fmonitor[V],Vmonitor[V],F_sim,MV1[V],x1tg[m],F1tg[kgf],v1tg[m/s],GLx1[m],GLy1[m],GHy1[m],GHy1[m],GHidariX[m],GhidariY[m],G_ab1[m],wii1-1[V],wii1-2[V],wii1-3[V],wii1-4[V],wii1-5[V],wii1-6[V],wii1-7[V],wii1-8[V],hidarite1-1[V],Hidarite1-2[V],Hidarite1-3[V],Hidarite1-4[V],GLx2[m],GLy2[m],GHy2[m],GHy2[m],GHidari2X[m],Ghidari2Y[m],G_ab2[m],wii2-1[V],wii2-2[V],wii2-3[V],wii2-4[V],wii2-5[V],wii2-6[V],wii2-7[V],wii2-8[V],hidarite2-1[V],Hidarite2-2[V],Hidarite2-3[V],Hidarite2-4[V],F1COP[kgf],x1COP[m],remoteEncoder[m],remoteForce[kgf],remoteGab[m],remoteFmoni[V]
0,0,,,0.107422,0.077515,,,,,,,,,,,,,,379.5076798,,,,,,,,,,,,,,,,,,,-7.604801329,,,,,,,,,,,,,,,,,,
0.049572,0,,,0.107422,0.077515,,,,,,,,,,,,,,61.09557268,,,,,,,,,,,,,,,,,,,-7.197544053,,,,,,,,,,,,,,,,,,
0.053414,0,,,0.108337,0.07782,,,,,,,,,,,,,,61.34470751,,,,,,,,,,,,,,,,,,,-6.825843653,,,,,,,,,,,,,,,,,,
0.056127,0,,,0.108337,0.07843,,,,,,,,,,,,,,61.52247496,,,,,,,,,,,,,,,,,,,-6.528068333,,,,,,,,,,,,,,,,,,
0.058726,0,,,0.106506,0.07843,,,,,,,,,,,,,,61.62277896,,,,,,,,,,,,,,,,,,,-6.314986945,,,,,,,,,,,,,,,,,,
0.061237,0,,,0.112305,0.07843,,,,,,,,,,,,,,61.66937337,,,,,,,,,,,,,,,,,,,-6.140940001,,,,,,,,,,,,,,,,,,
0.063729,0,,,0.115967,0.079346,,,,,,,,,,,,,,61.68104245,,,,,,,,,,,,,,,,,,,-5.936322367,,,,,,,,,,,,,,,,,,
0.066229,0,,,0.115662,0.080261,,,,,,,,,,,,,,61.65548319,,,,,,,,,,,,,,,,,,,-5.653107638,,,,,,,,,,,,,,,,,,
0.070412,0,,,0.116577,0.079956,,,,,,,,,,,,,,61.59515668,,,,,,,,,,,,,,,,,,,-5.297384825,,,,,,,,,,,,,,,,,,
0.073018,0,,,0.119324,0.079651,,,,,,,,,,,,,,61.51867348,,,,,,,,,,,,,,,,,,,-4.930903546,,,,,,,,,,,,,,,,,,
0.075501,0,,,0.120239,0.079041,,,,,,,,,,,,,,61.43045659,,,,,,,,,,,,,,,,,,,-4.60784332,,,,,,,,,,,,,,,,,,
0.077996,0,,,0.115051,0.080566,,,,,,,,,,,,,,61.32503969,,,,,,,,,,,,,,,,,,,-4.346300848,,,,,,,,,,,,,,,,,,
